week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
8/28/2021,8/21/2021,04000US19,Iowa,1751,13501,0,0,1.63012E+12,"August 28th, 2021",04000US19,Iowa
8/28/2021,8/21/2021,04000US21,Kentucky,1690,13169,0,0,1.63012E+12,"August 28th, 2021",04000US21,Kentucky
8/28/2021,8/21/2021,04000US22,Louisiana,1712,33132,0,0,1.63012E+12,"August 28th, 2021",04000US22,Louisiana
8/28/2021,8/21/2021,04000US28,Mississippi,1761,12245,0,0,1.63012E+12,"August 28th, 2021",04000US28,Mississippi
8/28/2021,8/21/2021,04000US44,Rhode Island,1884,13057,0,0,1.63012E+12,"August 28th, 2021",04000US44,Rhode Island
8/21/2021,8/14/2021,04000US19,Iowa,1677,14928,0,0,1.62952E+12,"August 21st, 2021",04000US19,Iowa
8/21/2021,8/14/2021,04000US21,Kentucky,1828,14877,0,0,1.62952E+12,"August 21st, 2021",04000US21,Kentucky
8/21/2021,8/14/2021,04000US22,Louisiana,2217,37315,0,0,1.62952E+12,"August 21st, 2021",04000US22,Louisiana
8/21/2021,8/14/2021,04000US28,Mississippi,2170,14817,0,0,1.62952E+12,"August 21st, 2021",04000US28,Mississippi
8/21/2021,8/14/2021,04000US44,Rhode Island,1834,13363,0,0,1.62952E+12,"August 21st, 2021",04000US44,Rhode Island
8/14/2021,8/7/2021,04000US19,Iowa,1614,16230,1457880,1.11,1.62891E+12,"August 14th, 2021",04000US19,Iowa
8/14/2021,8/7/2021,04000US21,Kentucky,1770,17013,1814775,0.94,1.62891E+12,"August 14th, 2021",04000US21,Kentucky
8/14/2021,8/7/2021,04000US22,Louisiana,2332,40433,1746855,2.31,1.62891E+12,"August 14th, 2021",04000US22,Louisiana
8/14/2021,8/7/2021,04000US28,Mississippi,2283,16574,1063853,1.56,1.62891E+12,"August 14th, 2021",04000US28,Mississippi
8/14/2021,8/7/2021,04000US44,Rhode Island,3062,13022,433198,3.01,1.62891E+12,"August 14th, 2021",04000US44,Rhode Island
8/7/2021,7/31/2021,04000US19,Iowa,2149,16433,1457880,1.13,1.62831E+12,"August 7th, 2021",04000US19,Iowa
8/7/2021,7/31/2021,04000US21,Kentucky,4006,16351,1814775,0.9,1.62831E+12,"August 7th, 2021",04000US21,Kentucky
8/7/2021,7/31/2021,04000US22,Louisiana,2411,43992,1746855,2.52,1.62831E+12,"August 7th, 2021",04000US22,Louisiana
8/7/2021,7/31/2021,04000US28,Mississippi,2278,18019,1063853,1.69,1.62831E+12,"August 7th, 2021",04000US28,Mississippi
8/7/2021,7/31/2021,04000US44,Rhode Island,3070,13642,433198,3.15,1.62831E+12,"August 7th, 2021",04000US44,Rhode Island
7/31/2021,7/24/2021,04000US19,Iowa,1884,16787,1457880,1.15,1.6277E+12,"July 31st, 2021",04000US19,Iowa
7/31/2021,7/24/2021,04000US21,Kentucky,4036,18044,1814775,0.99,1.6277E+12,"July 31st, 2021",04000US21,Kentucky
7/31/2021,7/24/2021,04000US22,Louisiana,3228,47230,1746855,2.7,1.6277E+12,"July 31st, 2021",04000US22,Louisiana
7/31/2021,7/24/2021,04000US28,Mississippi,2371,19536,1063853,1.84,1.6277E+12,"July 31st, 2021",04000US28,Mississippi
7/31/2021,7/24/2021,04000US44,Rhode Island,3589,13812,433198,3.19,1.6277E+12,"July 31st, 2021",04000US44,Rhode Island
7/24/2021,7/17/2021,04000US19,Iowa,1543,17639,1457880,1.21,1.6271E+12,"July 24th, 2021",04000US19,Iowa
7/24/2021,7/17/2021,04000US21,Kentucky,4225,23859,1814775,1.31,1.6271E+12,"July 24th, 2021",04000US21,Kentucky
7/24/2021,7/17/2021,04000US22,Louisiana,3122,44996,1746855,2.58,1.6271E+12,"July 24th, 2021",04000US22,Louisiana
7/24/2021,7/17/2021,04000US28,Mississippi,2250,20453,1063853,1.92,1.6271E+12,"July 24th, 2021",04000US28,Mississippi
7/24/2021,7/17/2021,04000US44,Rhode Island,2304,17138,433198,3.96,1.6271E+12,"July 24th, 2021",04000US44,Rhode Island
7/17/2021,7/10/2021,04000US19,Iowa,1671,18751,1457880,1.29,1.62649E+12,"July 17th, 2021",04000US19,Iowa
7/17/2021,7/10/2021,04000US21,Kentucky,11443,17753,1814775,0.98,1.62649E+12,"July 17th, 2021",04000US21,Kentucky
7/17/2021,7/10/2021,04000US22,Louisiana,5492,48045,1746855,2.75,1.62649E+12,"July 17th, 2021",04000US22,Louisiana
7/17/2021,7/10/2021,04000US28,Mississippi,2594,22733,1063853,2.14,1.62649E+12,"July 17th, 2021",04000US28,Mississippi
7/17/2021,7/10/2021,04000US44,Rhode Island,3971,16358,433198,3.78,1.62649E+12,"July 17th, 2021",04000US44,Rhode Island
7/10/2021,7/3/2021,04000US19,Iowa,2042,18621,1457880,1.28,1.62589E+12,"July 10th, 2021",04000US19,Iowa
7/10/2021,7/3/2021,04000US21,Kentucky,2498,20047,1814775,1.1,1.62589E+12,"July 10th, 2021",04000US21,Kentucky
7/10/2021,7/3/2021,04000US22,Louisiana,4558,49230,1746855,2.82,1.62589E+12,"July 10th, 2021",04000US22,Louisiana
7/10/2021,7/3/2021,04000US28,Mississippi,2936,23352,1063853,2.2,1.62589E+12,"July 10th, 2021",04000US28,Mississippi
7/10/2021,7/3/2021,04000US44,Rhode Island,4258,17064,433198,3.94,1.62589E+12,"July 10th, 2021",04000US44,Rhode Island
7/3/2021,6/26/2021,04000US19,Iowa,1942,19275,1475537,1.31,1.62528E+12,"July 3rd, 2021",04000US19,Iowa
7/3/2021,6/26/2021,04000US21,Kentucky,6269,21772,1814841,1.2,1.62528E+12,"July 3rd, 2021",04000US21,Kentucky
7/3/2021,6/26/2021,04000US22,Louisiana,4222,49973,1782555,2.8,1.62528E+12,"July 3rd, 2021",04000US22,Louisiana
7/3/2021,6/26/2021,04000US28,Mississippi,2194,26023,1070882,2.43,1.62528E+12,"July 3rd, 2021",04000US28,Mississippi
7/3/2021,6/26/2021,04000US44,Rhode Island,9065,18572,442230,4.2,1.62528E+12,"July 3rd, 2021",04000US44,Rhode Island
6/26/2021,6/19/2021,04000US19,Iowa,1864,20119,1475537,1.36,1.62468E+12,"June 26th, 2021",04000US19,Iowa
6/26/2021,6/19/2021,04000US21,Kentucky,7180,28914,1814841,1.59,1.62468E+12,"June 26th, 2021",04000US21,Kentucky
6/26/2021,6/19/2021,04000US22,Louisiana,4129,49163,1782555,2.76,1.62468E+12,"June 26th, 2021",04000US22,Louisiana
6/26/2021,6/19/2021,04000US28,Mississippi,1681,32459,1070882,3.03,1.62468E+12,"June 26th, 2021",04000US28,Mississippi
6/26/2021,6/19/2021,04000US44,Rhode Island,8009,20403,442230,4.61,1.62468E+12,"June 26th, 2021",04000US44,Rhode Island
6/19/2021,6/12/2021,04000US19,Iowa,1830,22883,1475537,1.55,1.62408E+12,"June 19th, 2021",04000US19,Iowa
6/19/2021,6/12/2021,04000US21,Kentucky,15058,25708,1814841,1.42,1.62408E+12,"June 19th, 2021",04000US21,Kentucky
6/19/2021,6/12/2021,04000US22,Louisiana,4278,49503,1782555,2.78,1.62408E+12,"June 19th, 2021",04000US22,Louisiana
6/19/2021,6/12/2021,04000US28,Mississippi,1686,25309,1070882,2.36,1.62408E+12,"June 19th, 2021",04000US28,Mississippi
6/19/2021,6/12/2021,04000US44,Rhode Island,7551,22534,442230,5.1,1.62408E+12,"June 19th, 2021",04000US44,Rhode Island
6/12/2021,6/5/2021,04000US19,Iowa,2613,23744,1475537,1.61,1.62347E+12,"June 12th, 2021",04000US19,Iowa
6/12/2021,6/5/2021,04000US21,Kentucky,15120,22302,1814841,1.23,1.62347E+12,"June 12th, 2021",04000US21,Kentucky
6/12/2021,6/5/2021,04000US22,Louisiana,5242,49355,1782555,2.77,1.62347E+12,"June 12th, 2021",04000US22,Louisiana
6/12/2021,6/5/2021,04000US28,Mississippi,2485,25945,1070882,2.42,1.62347E+12,"June 12th, 2021",04000US28,Mississippi
6/12/2021,6/5/2021,04000US44,Rhode Island,9237,21379,442230,4.83,1.62347E+12,"June 12th, 2021",04000US44,Rhode Island
6/5/2021,5/29/2021,04000US19,Iowa,2364,24464,1475537,1.66,1.62287E+12,"June 5th, 2021",04000US19,Iowa
6/5/2021,5/29/2021,04000US21,Kentucky,5948,20154,1814841,1.11,1.62287E+12,"June 5th, 2021",04000US21,Kentucky
6/5/2021,5/29/2021,04000US22,Louisiana,5569,50040,1782555,2.81,1.62287E+12,"June 5th, 2021",04000US22,Louisiana
6/5/2021,5/29/2021,04000US28,Mississippi,2798,30327,1070882,2.83,1.62287E+12,"June 5th, 2021",04000US28,Mississippi
6/5/2021,5/29/2021,04000US44,Rhode Island,9046,19972,442230,4.52,1.62287E+12,"June 5th, 2021",04000US44,Rhode Island
5/29/2021,5/22/2021,04000US19,Iowa,3380,25588,1475537,1.73,1.62226E+12,"May 29th, 2021",04000US19,Iowa
5/29/2021,5/22/2021,04000US21,Kentucky,6318,19075,1814841,1.05,1.62226E+12,"May 29th, 2021",04000US21,Kentucky
5/29/2021,5/22/2021,04000US22,Louisiana,5573,47680,1782555,2.67,1.62226E+12,"May 29th, 2021",04000US22,Louisiana
5/29/2021,5/22/2021,04000US28,Mississippi,2830,25737,1070882,2.4,1.62226E+12,"May 29th, 2021",04000US28,Mississippi
5/29/2021,5/22/2021,04000US44,Rhode Island,9610,19879,442230,4.5,1.62226E+12,"May 29th, 2021",04000US44,Rhode Island
5/22/2021,5/15/2021,04000US19,Iowa,3861,25255,1475537,1.71,1.62166E+12,"May 22nd, 2021",04000US19,Iowa
5/22/2021,5/15/2021,04000US21,Kentucky,2864,18753,1814841,1.03,1.62166E+12,"May 22nd, 2021",04000US21,Kentucky
5/22/2021,5/15/2021,04000US22,Louisiana,5976,51031,1782555,2.86,1.62166E+12,"May 22nd, 2021",04000US22,Louisiana
5/22/2021,5/15/2021,04000US28,Mississippi,2766,26328,1070882,2.46,1.62166E+12,"May 22nd, 2021",04000US28,Mississippi
5/22/2021,5/15/2021,04000US44,Rhode Island,8957,20387,442230,4.61,1.62166E+12,"May 22nd, 2021",04000US44,Rhode Island
5/15/2021,5/8/2021,04000US19,Iowa,3582,26173,1475537,1.77,1.62105E+12,"May 15th, 2021",04000US19,Iowa
5/15/2021,5/8/2021,04000US21,Kentucky,4044,24790,1814841,1.37,1.62105E+12,"May 15th, 2021",04000US21,Kentucky
5/15/2021,5/8/2021,04000US22,Louisiana,6327,51726,1782555,2.9,1.62105E+12,"May 15th, 2021",04000US22,Louisiana
5/15/2021,5/8/2021,04000US28,Mississippi,3455,27078,1070882,2.53,1.62105E+12,"May 15th, 2021",04000US28,Mississippi
5/15/2021,5/8/2021,04000US44,Rhode Island,8313,19989,442230,4.52,1.62105E+12,"May 15th, 2021",04000US44,Rhode Island
5/8/2021,5/1/2021,04000US19,Iowa,3290,25714,1475537,1.74,1.62045E+12,"May 8th, 2021",04000US19,Iowa
5/8/2021,5/1/2021,04000US21,Kentucky,11167,24390,1814841,1.34,1.62045E+12,"May 8th, 2021",04000US21,Kentucky
5/8/2021,5/1/2021,04000US22,Louisiana,7129,50556,1782555,2.84,1.62045E+12,"May 8th, 2021",04000US22,Louisiana
5/8/2021,5/1/2021,04000US28,Mississippi,4053,27296,1070882,2.55,1.62045E+12,"May 8th, 2021",04000US28,Mississippi
5/8/2021,5/1/2021,04000US44,Rhode Island,7521,19151,442230,4.33,1.62045E+12,"May 8th, 2021",04000US44,Rhode Island
5/1/2021,4/24/2021,04000US19,Iowa,3145,27764,1475537,1.88,1.61984E+12,"May 1st, 2021",04000US19,Iowa
5/1/2021,4/24/2021,04000US21,Kentucky,12151,21323,1814841,1.17,1.61984E+12,"May 1st, 2021",04000US21,Kentucky
5/1/2021,4/24/2021,04000US22,Louisiana,6783,52018,1782555,2.92,1.61984E+12,"May 1st, 2021",04000US22,Louisiana
5/1/2021,4/24/2021,04000US28,Mississippi,3528,27390,1070882,2.56,1.61984E+12,"May 1st, 2021",04000US28,Mississippi
5/1/2021,4/24/2021,04000US44,Rhode Island,7764,20379,442230,4.61,1.61984E+12,"May 1st, 2021",04000US44,Rhode Island
4/24/2021,4/17/2021,04000US19,Iowa,3955,30532,1475537,2.07,1.61924E+12,"April 24th, 2021",04000US19,Iowa
4/24/2021,4/17/2021,04000US21,Kentucky,7437,23572,1814841,1.3,1.61924E+12,"April 24th, 2021",04000US21,Kentucky
4/24/2021,4/17/2021,04000US22,Louisiana,7114,51308,1782555,2.88,1.61924E+12,"April 24th, 2021",04000US22,Louisiana
4/24/2021,4/17/2021,04000US28,Mississippi,3983,28058,1070882,2.62,1.61924E+12,"April 24th, 2021",04000US28,Mississippi
4/24/2021,4/17/2021,04000US44,Rhode Island,8041,17864,442230,4.04,1.61924E+12,"April 24th, 2021",04000US44,Rhode Island
4/17/2021,4/10/2021,04000US19,Iowa,6981,32950,1475537,2.23,1.61863E+12,"April 17th, 2021",04000US19,Iowa
4/17/2021,4/10/2021,04000US21,Kentucky,5958,15066,1814841,0.83,1.61863E+12,"April 17th, 2021",04000US21,Kentucky
4/17/2021,4/10/2021,04000US22,Louisiana,8829,52698,1782555,2.96,1.61863E+12,"April 17th, 2021",04000US22,Louisiana
4/17/2021,4/10/2021,04000US28,Mississippi,3998,28007,1070882,2.62,1.61863E+12,"April 17th, 2021",04000US28,Mississippi
4/17/2021,4/10/2021,04000US44,Rhode Island,5666,17786,442230,4.02,1.61863E+12,"April 17th, 2021",04000US44,Rhode Island
4/10/2021,4/3/2021,04000US19,Iowa,5005,33500,1475537,2.27,1.61803E+12,"April 10th, 2021",04000US19,Iowa
4/10/2021,4/3/2021,04000US21,Kentucky,5999,24623,1814841,1.36,1.61803E+12,"April 10th, 2021",04000US21,Kentucky
4/10/2021,4/3/2021,04000US22,Louisiana,9809,50796,1782555,2.85,1.61803E+12,"April 10th, 2021",04000US22,Louisiana
4/10/2021,4/3/2021,04000US28,Mississippi,4423,26953,1070882,2.52,1.61803E+12,"April 10th, 2021",04000US28,Mississippi
4/10/2021,4/3/2021,04000US44,Rhode Island,4973,17887,442230,4.04,1.61803E+12,"April 10th, 2021",04000US44,Rhode Island
4/3/2021,3/27/2021,04000US19,Iowa,6125,37872,1498396,2.53,1.61742E+12,"April 3rd, 2021",04000US19,Iowa
4/3/2021,3/27/2021,04000US21,Kentucky,21423,31624,1843088,1.72,1.61742E+12,"April 3rd, 2021",04000US21,Kentucky
4/3/2021,3/27/2021,04000US22,Louisiana,12263,46530,1827685,2.55,1.61742E+12,"April 3rd, 2021",04000US22,Louisiana
4/3/2021,3/27/2021,04000US28,Mississippi,5751,27435,1084333,2.53,1.61742E+12,"April 3rd, 2021",04000US28,Mississippi
4/3/2021,3/27/2021,04000US44,Rhode Island,5317,17941,453539,3.96,1.61742E+12,"April 3rd, 2021",04000US44,Rhode Island
3/27/2021,3/20/2021,04000US19,Iowa,4602,39657,1498396,2.65,1.61682E+12,"March 27th, 2021",04000US19,Iowa
3/27/2021,3/20/2021,04000US21,Kentucky,24838,33377,1843088,1.81,1.61682E+12,"March 27th, 2021",04000US21,Kentucky
3/27/2021,3/20/2021,04000US22,Louisiana,12845,42546,1827685,2.33,1.61682E+12,"March 27th, 2021",04000US22,Louisiana
3/27/2021,3/20/2021,04000US28,Mississippi,4937,26070,1084333,2.4,1.61682E+12,"March 27th, 2021",04000US28,Mississippi
3/27/2021,3/20/2021,04000US44,Rhode Island,4536,17675,453539,3.9,1.61682E+12,"March 27th, 2021",04000US44,Rhode Island
3/20/2021,3/13/2021,04000US19,Iowa,5129,37540,1498396,2.51,1.61621E+12,"March 20th, 2021",04000US19,Iowa
3/20/2021,3/13/2021,04000US21,Kentucky,8738,35556,1843088,1.93,1.61621E+12,"March 20th, 2021",04000US21,Kentucky
3/20/2021,3/13/2021,04000US22,Louisiana,6468,40840,1827685,2.23,1.61621E+12,"March 20th, 2021",04000US22,Louisiana
3/20/2021,3/13/2021,04000US28,Mississippi,4463,27445,1084333,2.53,1.61621E+12,"March 20th, 2021",04000US28,Mississippi
3/20/2021,3/13/2021,04000US44,Rhode Island,3853,17951,453539,3.96,1.61621E+12,"March 20th, 2021",04000US44,Rhode Island
3/13/2021,3/6/2021,04000US19,Iowa,5750,40145,1498396,2.68,1.61561E+12,"March 13th, 2021",04000US19,Iowa
3/13/2021,3/6/2021,04000US21,Kentucky,10278,36610,1843088,1.99,1.61561E+12,"March 13th, 2021",04000US21,Kentucky
3/13/2021,3/6/2021,04000US22,Louisiana,7195,46170,1827685,2.53,1.61561E+12,"March 13th, 2021",04000US22,Louisiana
3/13/2021,3/6/2021,04000US28,Mississippi,5286,28836,1084333,2.66,1.61561E+12,"March 13th, 2021",04000US28,Mississippi
3/13/2021,3/6/2021,04000US44,Rhode Island,4227,19307,453539,4.26,1.61561E+12,"March 13th, 2021",04000US44,Rhode Island
3/6/2021,2/27/2021,04000US19,Iowa,5182,44013,1498396,2.94,1.61501E+12,"March 6th, 2021",04000US19,Iowa
3/6/2021,2/27/2021,04000US21,Kentucky,9277,44700,1843088,2.43,1.61501E+12,"March 6th, 2021",04000US21,Kentucky
3/6/2021,2/27/2021,04000US22,Louisiana,7100,48016,1827685,2.63,1.61501E+12,"March 6th, 2021",04000US22,Louisiana
3/6/2021,2/27/2021,04000US28,Mississippi,7403,30983,1084333,2.86,1.61501E+12,"March 6th, 2021",04000US28,Mississippi
3/6/2021,2/27/2021,04000US44,Rhode Island,4826,20590,453539,4.54,1.61501E+12,"March 6th, 2021",04000US44,Rhode Island
2/27/2021,2/20/2021,04000US19,Iowa,4216,48389,1498396,3.23,1.6144E+12,"February 27th, 2021",04000US19,Iowa
2/27/2021,2/20/2021,04000US21,Kentucky,13857,38708,1843088,2.1,1.6144E+12,"February 27th, 2021",04000US21,Kentucky
2/27/2021,2/20/2021,04000US22,Louisiana,6981,53212,1827685,2.91,1.6144E+12,"February 27th, 2021",04000US22,Louisiana
2/27/2021,2/20/2021,04000US28,Mississippi,17952,47365,1084333,4.37,1.6144E+12,"February 27th, 2021",04000US28,Mississippi
2/27/2021,2/20/2021,04000US44,Rhode Island,5787,22155,453539,4.88,1.6144E+12,"February 27th, 2021",04000US44,Rhode Island
2/20/2021,2/13/2021,04000US19,Iowa,5192,48758,1498396,3.25,1.6138E+12,"February 20th, 2021",04000US19,Iowa
2/20/2021,2/13/2021,04000US21,Kentucky,14139,41801,1843088,2.27,1.6138E+12,"February 20th, 2021",04000US21,Kentucky
2/20/2021,2/13/2021,04000US22,Louisiana,6447,52721,1827685,2.88,1.6138E+12,"February 20th, 2021",04000US22,Louisiana
2/20/2021,2/13/2021,04000US28,Mississippi,9628,27681,1084333,2.55,1.6138E+12,"February 20th, 2021",04000US28,Mississippi
2/20/2021,2/13/2021,04000US44,Rhode Island,8260,23153,453539,5.1,1.6138E+12,"February 20th, 2021",04000US44,Rhode Island
2/13/2021,2/6/2021,04000US19,Iowa,5988,46963,1498396,3.13,1.61319E+12,"February 13th, 2021",04000US19,Iowa
2/13/2021,2/6/2021,04000US21,Kentucky,12028,46630,1843088,2.53,1.61319E+12,"February 13th, 2021",04000US21,Kentucky
2/13/2021,2/6/2021,04000US22,Louisiana,6458,54587,1827685,2.99,1.61319E+12,"February 13th, 2021",04000US22,Louisiana
2/13/2021,2/6/2021,04000US28,Mississippi,6362,28987,1084333,2.67,1.61319E+12,"February 13th, 2021",04000US28,Mississippi
2/13/2021,2/6/2021,04000US44,Rhode Island,11595,28311,453539,6.24,1.61319E+12,"February 13th, 2021",04000US44,Rhode Island
2/6/2021,1/30/2021,04000US19,Iowa,6120,48028,1498396,3.21,1.61259E+12,"February 6th, 2021",04000US19,Iowa
2/6/2021,1/30/2021,04000US21,Kentucky,10712,40867,1843088,2.22,1.61259E+12,"February 6th, 2021",04000US21,Kentucky
2/6/2021,1/30/2021,04000US22,Louisiana,9010,60711,1827685,3.32,1.61259E+12,"February 6th, 2021",04000US22,Louisiana
2/6/2021,1/30/2021,04000US28,Mississippi,7538,28809,1084333,2.66,1.61259E+12,"February 6th, 2021",04000US28,Mississippi
2/6/2021,1/30/2021,04000US44,Rhode Island,17724,27681,453539,6.1,1.61259E+12,"February 6th, 2021",04000US44,Rhode Island
1/30/2021,1/23/2021,04000US19,Iowa,5778,45803,1498396,3.06,1.61198E+12,"January 30th, 2021",04000US19,Iowa
1/30/2021,1/23/2021,04000US21,Kentucky,11019,41221,1843088,2.24,1.61198E+12,"January 30th, 2021",04000US21,Kentucky
1/30/2021,1/23/2021,04000US22,Louisiana,10376,65649,1827685,3.59,1.61198E+12,"January 30th, 2021",04000US22,Louisiana
1/30/2021,1/23/2021,04000US28,Mississippi,3742,31184,1084333,2.88,1.61198E+12,"January 30th, 2021",04000US28,Mississippi
1/30/2021,1/23/2021,04000US44,Rhode Island,16379,25483,453539,5.62,1.61198E+12,"January 30th, 2021",04000US44,Rhode Island
1/23/2021,1/16/2021,04000US19,Iowa,5251,46303,1498396,3.09,1.61138E+12,"January 23rd, 2021",04000US19,Iowa
1/23/2021,1/16/2021,04000US21,Kentucky,7907,43491,1843088,2.36,1.61138E+12,"January 23rd, 2021",04000US21,Kentucky
1/23/2021,1/16/2021,04000US22,Louisiana,12004,64916,1827685,3.55,1.61138E+12,"January 23rd, 2021",04000US22,Louisiana
1/23/2021,1/16/2021,04000US28,Mississippi,6849,30594,1084333,2.82,1.61138E+12,"January 23rd, 2021",04000US28,Mississippi
1/23/2021,1/16/2021,04000US44,Rhode Island,11695,23731,453539,5.23,1.61138E+12,"January 23rd, 2021",04000US44,Rhode Island
1/16/2021,1/9/2021,04000US19,Iowa,6380,46014,1498396,3.07,1.61077E+12,"January 16th, 2021",04000US19,Iowa
1/16/2021,1/9/2021,04000US21,Kentucky,11932,42642,1843088,2.31,1.61077E+12,"January 16th, 2021",04000US21,Kentucky
1/16/2021,1/9/2021,04000US22,Louisiana,16340,63888,1827685,3.5,1.61077E+12,"January 16th, 2021",04000US22,Louisiana
1/16/2021,1/9/2021,04000US28,Mississippi,8167,31703,1084333,2.92,1.61077E+12,"January 16th, 2021",04000US28,Mississippi
1/16/2021,1/9/2021,04000US44,Rhode Island,10797,23980,453539,5.29,1.61077E+12,"January 16th, 2021",04000US44,Rhode Island
1/9/2021,1/2/2021,04000US19,Iowa,7366,48553,1498396,3.24,1.61017E+12,"January 9th, 2021",04000US19,Iowa
1/9/2021,1/2/2021,04000US21,Kentucky,11399,44207,1843088,2.4,1.61017E+12,"January 9th, 2021",04000US21,Kentucky
1/9/2021,1/2/2021,04000US22,Louisiana,21624,87510,1827685,4.79,1.61017E+12,"January 9th, 2021",04000US22,Louisiana
1/9/2021,1/2/2021,04000US28,Mississippi,9872,32576,1084333,3,1.61017E+12,"January 9th, 2021",04000US28,Mississippi
1/9/2021,1/2/2021,04000US44,Rhode Island,7799,23015,453539,5.07,1.61017E+12,"January 9th, 2021",04000US44,Rhode Island
1/2/2021,12/26/2020,04000US19,Iowa,7855,43165,1535919,2.81,1.60956E+12,"January 2nd, 2021",04000US19,Iowa
1/2/2021,12/26/2020,04000US21,Kentucky,16941,40437,1899546,2.13,1.60956E+12,"January 2nd, 2021",04000US21,Kentucky
1/2/2021,12/26/2020,04000US22,Louisiana,25365,64404,1887456,3.41,1.60956E+12,"January 2nd, 2021",04000US22,Louisiana
1/2/2021,12/26/2020,04000US28,Mississippi,6360,30185,1110495,2.72,1.60956E+12,"January 2nd, 2021",04000US28,Mississippi
1/2/2021,12/26/2020,04000US44,Rhode Island,5612,20920,474882,4.41,1.60956E+12,"January 2nd, 2021",04000US44,Rhode Island
12/26/2020,12/19/2020,04000US19,Iowa,7141,38023,1535919,2.48,1.60896E+12,"December 26th, 2020",04000US19,Iowa
12/26/2020,12/19/2020,04000US21,Kentucky,12800,41834,1899546,2.2,1.60896E+12,"December 26th, 2020",04000US21,Kentucky
12/26/2020,12/19/2020,04000US22,Louisiana,8246,60641,1887456,3.21,1.60896E+12,"December 26th, 2020",04000US22,Louisiana
12/26/2020,12/19/2020,04000US28,Mississippi,5205,28218,1110495,2.54,1.60896E+12,"December 26th, 2020",04000US28,Mississippi
12/26/2020,12/19/2020,04000US44,Rhode Island,5572,19829,474882,4.18,1.60896E+12,"December 26th, 2020",04000US44,Rhode Island
12/19/2020,12/12/2020,04000US19,Iowa,7271,37492,1535919,2.44,1.60835E+12,"December 19th, 2020",04000US19,Iowa
12/19/2020,12/12/2020,04000US21,Kentucky,8459,46950,1899546,2.47,1.60835E+12,"December 19th, 2020",04000US21,Kentucky
12/19/2020,12/12/2020,04000US22,Louisiana,7926,64448,1887456,3.41,1.60835E+12,"December 19th, 2020",04000US22,Louisiana
12/19/2020,12/12/2020,04000US28,Mississippi,4639,28001,1110495,2.52,1.60835E+12,"December 19th, 2020",04000US28,Mississippi
12/19/2020,12/12/2020,04000US44,Rhode Island,6769,19264,474882,4.06,1.60835E+12,"December 19th, 2020",04000US44,Rhode Island
12/12/2020,12/5/2020,04000US19,Iowa,6526,38118,1535919,2.48,1.60775E+12,"December 12th, 2020",04000US19,Iowa
12/12/2020,12/5/2020,04000US21,Kentucky,7259,47531,1899546,2.5,1.60775E+12,"December 12th, 2020",04000US21,Kentucky
12/12/2020,12/5/2020,04000US22,Louisiana,9289,66810,1887456,3.54,1.60775E+12,"December 12th, 2020",04000US22,Louisiana
12/12/2020,12/5/2020,04000US28,Mississippi,5090,28911,1110495,2.6,1.60775E+12,"December 12th, 2020",04000US28,Mississippi
12/12/2020,12/5/2020,04000US44,Rhode Island,5617,17645,474882,3.72,1.60775E+12,"December 12th, 2020",04000US44,Rhode Island
12/5/2020,11/28/2020,04000US19,Iowa,10112,42382,1535919,2.76,1.60714E+12,"December 5th, 2020",04000US19,Iowa
12/5/2020,11/28/2020,04000US21,Kentucky,8168,46877,1899546,2.47,1.60714E+12,"December 5th, 2020",04000US21,Kentucky
12/5/2020,11/28/2020,04000US22,Louisiana,9114,75004,1887456,3.97,1.60714E+12,"December 5th, 2020",04000US22,Louisiana
12/5/2020,11/28/2020,04000US28,Mississippi,5075,31543,1110495,2.84,1.60714E+12,"December 5th, 2020",04000US28,Mississippi
12/5/2020,11/28/2020,04000US44,Rhode Island,5261,15849,474882,3.34,1.60714E+12,"December 5th, 2020",04000US44,Rhode Island
11/28/2020,11/21/2020,04000US19,Iowa,5357,33712,1535919,2.19,1.60654E+12,"November 28th, 2020",04000US19,Iowa
11/28/2020,11/21/2020,04000US21,Kentucky,9319,44141,1899546,2.32,1.60654E+12,"November 28th, 2020",04000US21,Kentucky
11/28/2020,11/21/2020,04000US22,Louisiana,11780,74863,1887456,3.97,1.60654E+12,"November 28th, 2020",04000US22,Louisiana
11/28/2020,11/21/2020,04000US28,Mississippi,3373,29740,1110495,2.68,1.60654E+12,"November 28th, 2020",04000US28,Mississippi
11/28/2020,11/21/2020,04000US44,Rhode Island,3932,14707,474882,3.1,1.60654E+12,"November 28th, 2020",04000US44,Rhode Island
11/21/2020,11/14/2020,04000US19,Iowa,8930,36802,1535919,2.4,1.60593E+12,"November 21st, 2020",04000US19,Iowa
11/21/2020,11/14/2020,04000US21,Kentucky,10983,44098,1899546,2.32,1.60593E+12,"November 21st, 2020",04000US21,Kentucky
11/21/2020,11/14/2020,04000US22,Louisiana,10045,83338,1887456,4.42,1.60593E+12,"November 21st, 2020",04000US22,Louisiana
11/21/2020,11/14/2020,04000US28,Mississippi,3879,32639,1110495,2.94,1.60593E+12,"November 21st, 2020",04000US28,Mississippi
11/21/2020,11/14/2020,04000US44,Rhode Island,3543,15459,474882,3.26,1.60593E+12,"November 21st, 2020",04000US44,Rhode Island
