week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
6/23/2018,6/16/2018,04000US19,Iowa,1990,13869,1516790,0.91,1.52973E+12,"June 23rd, 2018",04000US19,Iowa
6/23/2018,6/16/2018,04000US21,Kentucky,3767,16983,1871642,0.91,1.52973E+12,"June 23rd, 2018",04000US21,Kentucky
6/23/2018,6/16/2018,04000US22,Louisiana,2263,18674,1872877,1,1.52973E+12,"June 23rd, 2018",04000US22,Louisiana
6/23/2018,6/16/2018,04000US28,Mississippi,1199,11169,1101896,1.01,1.52973E+12,"June 23rd, 2018",04000US28,Mississippi
6/23/2018,6/16/2018,04000US44,Rhode Island,1992,6680,465211,1.44,1.52973E+12,"June 23rd, 2018",04000US44,Rhode Island
6/16/2018,6/9/2018,04000US19,Iowa,1778,13932,1516790,0.92,1.52912E+12,"June 16th, 2018",04000US19,Iowa
6/16/2018,6/9/2018,04000US21,Kentucky,1799,16679,1871642,0.89,1.52912E+12,"June 16th, 2018",04000US21,Kentucky
6/16/2018,6/9/2018,04000US22,Louisiana,2541,18306,1872877,0.98,1.52912E+12,"June 16th, 2018",04000US22,Louisiana
6/16/2018,6/9/2018,04000US28,Mississippi,1425,10854,1101896,0.99,1.52912E+12,"June 16th, 2018",04000US28,Mississippi
6/16/2018,6/9/2018,04000US44,Rhode Island,879,6530,465211,1.4,1.52912E+12,"June 16th, 2018",04000US44,Rhode Island
6/9/2018,6/2/2018,04000US19,Iowa,2585,13164,1516790,0.87,1.52852E+12,"June 9th, 2018",04000US19,Iowa
6/9/2018,6/2/2018,04000US21,Kentucky,2306,17208,1871642,0.92,1.52852E+12,"June 9th, 2018",04000US21,Kentucky
6/9/2018,6/2/2018,04000US22,Louisiana,2883,17417,1872877,0.93,1.52852E+12,"June 9th, 2018",04000US22,Louisiana
6/9/2018,6/2/2018,04000US28,Mississippi,1765,10523,1101896,0.95,1.52852E+12,"June 9th, 2018",04000US28,Mississippi
6/9/2018,6/2/2018,04000US44,Rhode Island,677,6581,465211,1.41,1.52852E+12,"June 9th, 2018",04000US44,Rhode Island
6/2/2018,5/26/2018,04000US19,Iowa,1775,13404,1516790,0.88,1.52791E+12,"June 2nd, 2018",04000US19,Iowa
6/2/2018,5/26/2018,04000US21,Kentucky,2235,17190,1871642,0.92,1.52791E+12,"June 2nd, 2018",04000US21,Kentucky
6/2/2018,5/26/2018,04000US22,Louisiana,2946,16792,1872877,0.9,1.52791E+12,"June 2nd, 2018",04000US22,Louisiana
6/2/2018,5/26/2018,04000US28,Mississippi,2277,9107,1101896,0.83,1.52791E+12,"June 2nd, 2018",04000US28,Mississippi
6/2/2018,5/26/2018,04000US44,Rhode Island,578,6730,465211,1.45,1.52791E+12,"June 2nd, 2018",04000US44,Rhode Island
5/26/2018,5/19/2018,04000US19,Iowa,2424,13308,1516790,0.88,1.52731E+12,"May 26th, 2018",04000US19,Iowa
5/26/2018,5/19/2018,04000US21,Kentucky,2874,18595,1871642,0.99,1.52731E+12,"May 26th, 2018",04000US21,Kentucky
5/26/2018,5/19/2018,04000US22,Louisiana,3059,15367,1872877,0.82,1.52731E+12,"May 26th, 2018",04000US22,Louisiana
5/26/2018,5/19/2018,04000US28,Mississippi,2094,8040,1101896,0.73,1.52731E+12,"May 26th, 2018",04000US28,Mississippi
5/26/2018,5/19/2018,04000US44,Rhode Island,608,6786,465211,1.46,1.52731E+12,"May 26th, 2018",04000US44,Rhode Island
5/19/2018,5/12/2018,04000US19,Iowa,2047,13317,1516790,0.88,1.5267E+12,"May 19th, 2018",04000US19,Iowa
5/19/2018,5/12/2018,04000US21,Kentucky,6629,17859,1871642,0.95,1.5267E+12,"May 19th, 2018",04000US21,Kentucky
5/19/2018,5/12/2018,04000US22,Louisiana,2351,15258,1872877,0.81,1.5267E+12,"May 19th, 2018",04000US22,Louisiana
5/19/2018,5/12/2018,04000US28,Mississippi,1922,7324,1101896,0.66,1.5267E+12,"May 19th, 2018",04000US28,Mississippi
5/19/2018,5/12/2018,04000US44,Rhode Island,846,6803,465211,1.46,1.5267E+12,"May 19th, 2018",04000US44,Rhode Island
5/12/2018,5/5/2018,04000US19,Iowa,1788,13992,1516790,0.92,1.5261E+12,"May 12th, 2018",04000US19,Iowa
5/12/2018,5/5/2018,04000US21,Kentucky,4969,16644,1871642,0.89,1.5261E+12,"May 12th, 2018",04000US21,Kentucky
5/12/2018,5/5/2018,04000US22,Louisiana,2026,15141,1872877,0.81,1.5261E+12,"May 12th, 2018",04000US22,Louisiana
5/12/2018,5/5/2018,04000US28,Mississippi,1440,7050,1101896,0.64,1.5261E+12,"May 12th, 2018",04000US28,Mississippi
5/12/2018,5/5/2018,04000US44,Rhode Island,747,6965,465211,1.5,1.5261E+12,"May 12th, 2018",04000US44,Rhode Island
5/5/2018,4/28/2018,04000US19,Iowa,1620,15181,1516790,1,1.52549E+12,"May 5th, 2018",04000US19,Iowa
5/5/2018,4/28/2018,04000US21,Kentucky,1989,17161,1871642,0.92,1.52549E+12,"May 5th, 2018",04000US21,Kentucky
5/5/2018,4/28/2018,04000US22,Louisiana,2065,15874,1872877,0.85,1.52549E+12,"May 5th, 2018",04000US22,Louisiana
5/5/2018,4/28/2018,04000US28,Mississippi,1114,7180,1101896,0.65,1.52549E+12,"May 5th, 2018",04000US28,Mississippi
5/5/2018,4/28/2018,04000US44,Rhode Island,704,7468,465211,1.61,1.52549E+12,"May 5th, 2018",04000US44,Rhode Island
4/28/2018,4/21/2018,04000US19,Iowa,1559,18256,1516790,1.2,1.52489E+12,"April 28th, 2018",04000US19,Iowa
4/28/2018,4/21/2018,04000US21,Kentucky,1817,17727,1871642,0.95,1.52489E+12,"April 28th, 2018",04000US21,Kentucky
4/28/2018,4/21/2018,04000US22,Louisiana,2242,15278,1872877,0.82,1.52489E+12,"April 28th, 2018",04000US22,Louisiana
4/28/2018,4/21/2018,04000US28,Mississippi,936,7158,1101896,0.65,1.52489E+12,"April 28th, 2018",04000US28,Mississippi
4/28/2018,4/21/2018,04000US44,Rhode Island,651,9816,465211,2.11,1.52489E+12,"April 28th, 2018",04000US44,Rhode Island
4/21/2018,4/14/2018,04000US19,Iowa,1746,19362,1516790,1.28,1.52428E+12,"April 21st, 2018",04000US19,Iowa
4/21/2018,4/14/2018,04000US21,Kentucky,1934,18429,1871642,0.98,1.52428E+12,"April 21st, 2018",04000US21,Kentucky
4/21/2018,4/14/2018,04000US22,Louisiana,1960,15472,1872877,0.83,1.52428E+12,"April 21st, 2018",04000US22,Louisiana
4/21/2018,4/14/2018,04000US28,Mississippi,1037,7336,1101896,0.67,1.52428E+12,"April 21st, 2018",04000US28,Mississippi
4/21/2018,4/14/2018,04000US44,Rhode Island,2631,8600,465211,1.85,1.52428E+12,"April 21st, 2018",04000US44,Rhode Island
4/14/2018,4/7/2018,04000US19,Iowa,1697,21813,1516790,1.44,1.52368E+12,"April 14th, 2018",04000US19,Iowa
4/14/2018,4/7/2018,04000US21,Kentucky,3111,19698,1871642,1.05,1.52368E+12,"April 14th, 2018",04000US21,Kentucky
4/14/2018,4/7/2018,04000US22,Louisiana,2142,15508,1872877,0.83,1.52368E+12,"April 14th, 2018",04000US22,Louisiana
4/14/2018,4/7/2018,04000US28,Mississippi,916,7416,1101896,0.67,1.52368E+12,"April 14th, 2018",04000US28,Mississippi
4/14/2018,4/7/2018,04000US44,Rhode Island,934,9349,465211,2.01,1.52368E+12,"April 14th, 2018",04000US44,Rhode Island
4/7/2018,3/31/2018,04000US19,Iowa,2274,23322,1517606,1.54,1.52307E+12,"April 7th, 2018",04000US19,Iowa
4/7/2018,3/31/2018,04000US21,Kentucky,2829,19366,1871642,1.03,1.52307E+12,"April 7th, 2018",04000US21,Kentucky
4/7/2018,3/31/2018,04000US22,Louisiana,2393,15640,1874072,0.83,1.52307E+12,"April 7th, 2018",04000US22,Louisiana
4/7/2018,3/31/2018,04000US28,Mississippi,1088,7448,1101351,0.68,1.52307E+12,"April 7th, 2018",04000US28,Mississippi
4/7/2018,3/31/2018,04000US44,Rhode Island,900,10478,464069,2.26,1.52307E+12,"April 7th, 2018",04000US44,Rhode Island
3/31/2018,3/24/2018,04000US19,Iowa,2145,24308,1517606,1.6,1.52247E+12,"March 31st, 2018",04000US19,Iowa
3/31/2018,3/24/2018,04000US21,Kentucky,1899,19874,1869232,1.06,1.52247E+12,"March 31st, 2018",04000US21,Kentucky
3/31/2018,3/24/2018,04000US22,Louisiana,1648,16067,1874072,0.86,1.52247E+12,"March 31st, 2018",04000US22,Louisiana
